CodigoHistorial,Username_Paciente,Nombre_Paciente,FechaNacimiento,Cedula,FechaCreacion
HIS-6068110,cjimenez,Carlos Jimenez Reyes,1981-04-15,0811819606,2023-07-24
HIS-5529583,cjimenez1,Camila Jimenez Flores,1995-10-28,0721161552,2024-01-11
HIS-5238497,lmorales,Luis Morales Mendez,1984-07-09,0311647523,2023-03-26
HIS-3768238,plopez,Pablo Lopez Castillo,1982-10-13,1321395376,2024-01-12
HIS-6696268,lmartinez,Laura Martinez Ramirez,1962-05-14,0552691669,2022-11-20
HIS-2565820,pgomez,Paola Gomez Grefa,1958-04-19,0454893256,2022-06-11
HIS-8936253,nalvarado,Nicolas Alvarado Torres,1962-04-08,0557824893,2022-05-12
HIS-5127034,omorales,Oscar Morales Garcia,1970-08-26,0350310512,2024-04-13
HIS-6538466,cvega,Cristian Vega Ortega,1984-04-28,1437010653,2022-06-04
HIS-3629734,ralvarado,Rodrigo Alvarado Garcia,1997-12-16,0312677362,2022-11-14
HIS-7898084,lespinoza,Luis Espinoza Alvarado,1980-02-19,0255009789,2023-05-20
HIS-4695943,aespinoza,Antonio Espinoza Cáceres,1959-09-07,1724353469,2024-11-02
HIS-9837336,sgonzalez,Silvia Gonzalez Reyes,1973-10-07,1222784983,2023-12-04
HIS-2445765,mmartinez,Monica Martinez Perez,1957-06-19,2134005244,2022-10-31
HIS-6927258,echavez,Eduardo Chávez Lopez,1972-03-26,1213158692,2022-08-10
HIS-6507114,pdiaz,Patricia Diaz Ramos,1971-03-19,1223303650,2023-06-28
HIS-4057548,gcastillo,Gabriela Castillo Vega,1975-11-28,2041693405,2022-09-13
HIS-6669366,caguilar,Claudia Aguilar Castillo,1993-11-11,1354823666,2024-08-10
HIS-1368499,ishiguango,Ivan Shiguango Rivera,1984-07-21,2204895136,2023-02-03
HIS-2819388,areyes,Andrea Reyes Flores,1993-06-25,2150163281,2024-06-25
HIS-4808939,cbenitez,Carmen Benítez Castro,1989-02-05,0657743480,2022-11-05
HIS-0300378,fcruz,Fabian Cruz Gonzalez,2003-07-28,1435876030,2024-05-08
HIS-2706651,amorales,Alejandro Morales Jimenez,1966-01-09,1430656270,2024-02-16
HIS-8047082,cromero,Camila Romero Ruiz,1970-03-16,0934170804,2022-08-23
HIS-1959982,lherrera,Lorena Herrera Chávez,1999-05-28,0649124195,2022-09-05
HIS-1698451,nvega,Natalia Vega Chávez,1984-07-27,0345067169,2023-07-04
HIS-7505540,fcastro,Fernando Castro Reyes,1955-09-07,1549650750,2022-06-25
HIS-4300299,nreyes,Natalia Reyes Shiguango,2002-09-11,2157701430,2023-12-22
HIS-2356911,vherrera,Valeria Herrera Morales,1969-06-06,0453518235,2023-09-12
HIS-9418029,flopez,Fernando Lopez Martinez,1980-08-03,1822710941,2022-04-20
HIS-8600290,lreyes,Laura Reyes Ramirez,2002-02-25,1839993860,2023-03-02
HIS-6777164,cperez,Claudia Perez Rivera,1971-11-19,0818120677,2023-02-10
HIS-9416051,rflores,Rodrigo Flores Jimenez,1960-10-02,0500249941,2024-06-03
HIS-7887630,jmorales,Jorge Morales Cáceres,1976-06-22,1904902788,2022-08-03
HIS-5488890,ltapuy,Lorena Tapuy Mendez,1988-06-20,2238071548,2024-10-17
HIS-9336273,rjimenez,Roberto Jimenez Benítez,1962-11-27,0527710933,2022-11-12
HIS-9869229,fshiguango,Fernanda Shiguango Shiguango,1992-10-22,0838263986,2024-09-29
HIS-9656322,gromero,Gabriela Romero Benítez,1963-09-19,1837533965,2023-11-11
HIS-4599439,iramos,Ivan Ramos Garcia,1994-02-08,2416217459,2023-08-12
HIS-0406689,csanchez,Carla Sanchez Castro,1966-02-20,0654005040,2024-02-23
HIS-7487423,tespinoza,Teresa Espinoza Flores,1974-04-13,0834740748,2024-09-16
HIS-0909890,sortega,Sandra Ortega Cáceres,1998-12-25,1054064090,2022-10-08
HIS-6267324,ecastro,Eduardo Castro Lopez,1973-12-28,1922145626,2023-11-25
HIS-8149492,amorales1,Andres Morales Medina,1994-09-11,1821604814,2023-03-30
HIS-1129688,tvargas,Teresa Vargas Aguilar,1996-02-27,0410047112,2024-09-29
HIS-8525882,achavez,Ana Chávez Cruz,1958-06-08,1533515852,2022-09-15
HIS-0440512,pbenitez,Patricio Benítez Cruz,2005-04-19,1913529044,2023-10-26
HIS-8905864,atorres,Ana Torres Aguilar,1958-08-28,1701775890,2024-04-02
HIS-4926165,lcastro,Lorena Castro Gonzalez,1961-12-04,0329212492,2023-03-17
HIS-4559095,aromero,Antonio Romero Ramos,1990-01-19,1331565455,2023-11-07
HIS-8316987,gvega,Gabriela Vega Martinez,1969-07-28,1044519831,2022-02-23
HIS-6107882,djimenez,Diego Jimenez Vargas,1978-05-24,1120229610,2023-10-27
HIS-7929877,arivera,Andres Rivera Guzmán,1998-11-19,0251476792,2024-09-23
HIS-4488719,pmedina,Pablo Medina Figueroa,1987-09-27,0203432448,2023-12-27
HIS-6456177,arodriguez,Antonio Rodriguez Ramos,1961-04-14,0329696645,2024-03-31
HIS-8899332,lvargas,Lucia Vargas Romero,1993-03-25,0822181889,2022-06-04
HIS-2717417,acaceres,Adriana Cáceres Espinoza,1974-08-15,1559955271,2022-03-19
HIS-0767692,lperez,Laura Perez Guzmán,1976-12-03,2046798076,2024-10-30
HIS-4677352,pcastro,Pablo Castro Castro,1973-05-24,1749255467,2022-11-04
HIS-4827472,hortega,Hugo Ortega Vargas,1974-03-07,2156291482,2023-12-01
HIS-5917866,aflores,Andres Flores Gonzalez,1978-11-24,1008880591,2023-05-02
HIS-7499025,palvarado,Patricia Alvarado Reyes,1990-02-23,1033597749,2024-11-22
HIS-7556993,nrivera,Nicolas Rivera Jimenez,1969-01-11,1542613755,2022-07-22
HIS-0167040,alopez,Andres Lopez Mendez,1970-05-04,1652779016,2022-04-08
HIS-2467874,lramirez,Laura Ramirez Tapuy,1978-02-17,2040893246,2024-11-05
HIS-1530490,lshiguango,Lucia Shiguango Lopez,2004-11-15,2135405153,2024-09-07
HIS-4886266,jramos,Jorge Ramos Lopez,1962-06-14,1010305488,2024-03-30
HIS-6990054,stapuy,Sofia Tapuy Tapuy,2000-07-06,1244161699,2024-06-28
HIS-8297996,sortega1,Sebastian Ortega Guzmán,1979-10-02,1420165829,2022-11-11
HIS-4310098,gcastro,Gabriela Castro Gonzalez,2000-08-07,1918565431,2023-08-08
HIS-1880513,mtorres,Miguel Torres Gonzalez,2005-03-08,1517155188,2024-10-08
HIS-8650426,vbenitez,Verónica Benítez Torres,2004-09-21,2001467865,2023-01-08
HIS-5826085,pramirez,Patricio Ramirez Cerda,1960-09-21,0522253582,2022-12-12
