ID,Nombres,Apellidos,Username,Correo,Cedula,Telefono,FechaNacimiento,CodigoHistorial,FechaRegistro
P00001,Carlos,Jimenez Reyes,cjimenez,cjimenez@gmail.com,0811819606,0933890838,1981-04-15,HIS-6068110,2023-07-24
P00002,Camila,Jimenez Flores,cjimenez1,cjimenez1@live.com,0721161552,0907816184,1995-10-28,HIS-5529583,2024-01-11
P00003,Luis,Morales Mendez,lmorales,lmorales@hotmail.com,0311647523,0934192832,1984-07-09,HIS-5238497,2023-03-26
P00004,Pablo,Lopez Castillo,plopez,plopez@outlook.com,1321395376,0924238849,1982-10-13,HIS-3768238,2024-01-12
P00005,Laura,Martinez Ramirez,lmartinez,lmartinez@live.com,0552691669,0984801845,1962-05-14,HIS-6696268,2022-11-20
P00006,Paola,Gomez Grefa,pgomez,pgomez@yahoo.com,0454893256,0995701543,1958-04-19,HIS-2565820,2022-06-11
P00007,Nicolas,Alvarado Torres,nalvarado,nalvarado@outlook.com,0557824893,0983465787,1962-04-08,HIS-8936253,2022-05-12
P00008,Oscar,Morales Garcia,omorales,omorales@live.com,0350310512,0947382997,1970-08-26,HIS-5127034,2024-04-13
P00009,Cristian,Vega Ortega,cvega,cvega@gmail.com,1437010653,0933872624,1984-04-28,HIS-6538466,2022-06-04
P00010,Rodrigo,Alvarado Garcia,ralvarado,ralvarado@gmail.com,0312677362,0960647468,1997-12-16,HIS-3629734,2022-11-14
P00011,Luis,Espinoza Alvarado,lespinoza,lespinoza@live.com,0255009789,0908121913,1980-02-19,HIS-7898084,2023-05-20
P00012,Antonio,Espinoza Cáceres,aespinoza,aespinoza@yahoo.com,1724353469,0975107991,1959-09-07,HIS-4695943,2024-11-02
P00013,Silvia,Gonzalez Reyes,sgonzalez,sgonzalez@gmail.com,1222784983,0912411824,1973-10-07,HIS-9837336,2023-12-04
P00014,Monica,Martinez Perez,mmartinez,mmartinez@yahoo.com,2134005244,0986801128,1957-06-19,HIS-2445765,2022-10-31
P00015,Eduardo,Chávez Lopez,echavez,echavez@yahoo.com,1213158692,0922602563,1972-03-26,HIS-6927258,2022-08-10
P00016,Patricia,Diaz Ramos,pdiaz,pdiaz@hotmail.com,1223303650,0945868501,1971-03-19,HIS-6507114,2023-06-28
P00017,Gabriela,Castillo Vega,gcastillo,gcastillo@outlook.com,2041693405,0988356159,1975-11-28,HIS-4057548,2022-09-13
P00018,Claudia,Aguilar Castillo,caguilar,caguilar@yahoo.com,1354823666,0968044369,1993-11-11,HIS-6669366,2024-08-10
P00019,Ivan,Shiguango Rivera,ishiguango,ishiguango@hotmail.com,2204895136,0932003791,1984-07-21,HIS-1368499,2023-02-03
P00020,Andrea,Reyes Flores,areyes,areyes@outlook.com,2150163281,0983172788,1993-06-25,HIS-2819388,2024-06-25
P00021,Carmen,Benítez Castro,cbenitez,cbenitez@outlook.com,0657743480,0947143455,1989-02-05,HIS-4808939,2022-11-05
P00022,Fabian,Cruz Gonzalez,fcruz,fcruz@outlook.com,1435876030,0990967054,2003-07-28,HIS-0300378,2024-05-08
P00023,Alejandro,Morales Jimenez,amorales,amorales@yahoo.com,1430656270,0969901627,1966-01-09,HIS-2706651,2024-02-16
P00024,Camila,Romero Ruiz,cromero,cromero@hotmail.com,0934170804,0910033092,1970-03-16,HIS-8047082,2022-08-23
P00025,Lorena,Herrera Chávez,lherrera,lherrera@gmail.com,0649124195,0996631931,1999-05-28,HIS-1959982,2022-09-05
