ID_Paciente,Nombre_Usuario,Contrasena,Cedula,Telefono,Correo,Fecha_Registro
P001,carlosrojas,rojas7,1720345678,0991234567,carlos.rojas@gmail.com,2025-01-10
P002,mariafuentes,fuent8,1712345670,0987654321,maria.fuentes@hotmail.com,2025-01-15
P003,andreslopez,lopez5,1701234562,0981111222,andres.lopez@outlook.com,2025-02-03
P004,lauratorres,torre9,1703456781,0993334455,laura.torres@yahoo.com,2025-02-14
P005,juanmorales,mora12,1725678901,0996665544,juan.morales@gmail.com,2025-02-20
P006,sofiavega,vega56,1709012345,0994443322,sofia.vega@gmail.com,2025-03-01
P007,diegosanchez,sanc7,1718901234,0992223311,diego.sanchez@hotmail.com,2025-03-08
P008,valentinacampo,camp9,1711234567,0991112233,valentina.campo@gmail.com,2025-03-15
P009,pabloherrera,herr5,1707890123,0995556677,pablo.herrera@outlook.com,2025-04-02
P010,danielaortiz,orti8,1714567890,0998889900,daniela.ortiz@gmail.com,2025-04-10
